"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante"
"E2F3","down",0.923873829834537,11.0135419331121,2.51923986408418,0.0191034888207693,0.810069843968146,TRUE,"up",FALSE
"C10orf71","up",0.664427216732234,8.43282320663019,2.51613110710272,0.0192355033258318,0.811670407340894,TRUE,"up",TRUE
"ADM","up",-1.00506156743674,14.4115933688565,-2.49295434957712,0.0202467948962835,0.812600614836983,TRUE,"down",FALSE
"C10orf120","up",0.719968106601937,7.80935421151953,2.49051002240446,0.0203562834777786,0.812600614836983,TRUE,"up",TRUE
"XAGE2","down",0.75252647527117,8.38657778638943,2.48736684721542,0.0204978839714147,0.812600614836983,TRUE,"up",FALSE
"IFRD1","up",0.706146140102906,14.6782867627638,2.48477897794024,0.0206151539708998,0.812600614836983,TRUE,"up",TRUE
"IL9","down",0.873944671935907,8.50372906941089,2.48206211349114,0.0207389395725612,0.812600614836983,TRUE,"up",FALSE
"TPH1","down",0.991120283155964,9.09222544451883,2.48174241991797,0.0207535507235009,0.812600614836983,TRUE,"up",FALSE
"SIM1","down",0.662385722741492,8.45473414145167,2.47423913783827,0.0210992339767419,0.814175889171401,TRUE,"up",FALSE
"CREM","up",0.798688543106815,11.694869884122,2.47332429919889,0.0211417449731112,0.814175889171401,TRUE,"up",TRUE
