"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"AQP10","down",-3.22861066580429,0.131551282666666,0.0779884592687161,"up",FALSE
"AQP12A","up",1.3811648506532,0.0630208416666667,0.682262643153803,"up",TRUE
"AQP3","up",5.31762719846675,-0.161258011333333,0.565065697073819,"down",FALSE
"AQP5","down",-3.06787057223787,-0.148211339166667,0.167066556870352,"down",TRUE
"AQP7","up",1.23409764056949,-0.0211079011666664,0.946087422564445,"down",FALSE
"AQR","up",1.97937156923868,-0.132573447749999,0.0397328669778264,"down",FALSE
"ARAF","up",2.21335225921718,0.0648488989166681,0.521651406811578,"up",TRUE
"AREG","down",-2.16377565162745,1.67283713541667,0.0139673214458913,"up",FALSE
"ARF1","up",1.54737707559932,0.00877866500000251,0.919264932725243,"up",TRUE
"ARF4","up",1.24643952518988,-0.0460347091666659,0.595008355041063,"down",FALSE
"ARF6","up",1.6204071767153,0.190850101583334,0.0916234501061766,"up",TRUE
"ARFGEF2","down",-2.15497619951814,0.307834430833334,0.0373069144799655,"up",FALSE
"ARFIP1","down",-2.44838423639889,-0.104862235833333,0.28163035568312,"down",TRUE
"ARFIP2","down",-1.00004176541688,0.0216128881666685,0.872850684314039,"up",FALSE
"ARHGAP12","up",2.0954465810216,-0.0255451866666648,0.917849448906486,"down",FALSE
"ARHGAP24","up",2.0412969245584,0.231467341416669,0.0454268627117626,"up",TRUE
"ARHGAP25","up",1.02922429813733,-0.255925973249999,0.0540211712050516,"down",FALSE
"ARHGAP26","down",-1.22957161927174,0.0727600593333338,0.693039058285762,"up",FALSE
"ARHGAP27","up",2.05992794987074,0.0258719807500008,0.83751664073505,"up",TRUE
"ARHGAP30","down",-2.44293856082829,-0.109323866916665,0.361564007645213,"down",TRUE
"ARHGAP5","down",-2.40210895571097,0.232648824,0.0468022702777675,"up",FALSE
"ARHGAP6","down",-3.20575053033243,-0.0911011157499984,0.601081830897694,"down",TRUE
"ARHGEF1","up",2.66177932887123,-0.0315339229999989,0.717449875774824,"down",FALSE
"ARHGEF10","up",1.76760213149231,-0.023549155833332,0.779306299084209,"down",FALSE
"ARHGEF10L","down",-2.19613887906339,0.242966160833335,0.158232302264345,"up",FALSE
"ARHGEF11","down",-2.104044736169,-0.020593742916665,0.809876087908423,"down",TRUE
"ARHGEF3","up",2.06878549950229,0.141061956166667,0.263300017836745,"up",TRUE
