"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Aim1l",680.230128642632,5.56325311882127,1.36249476696835,4.08313723743682,4.44317654922163e-05,0.00505727412106527,NA,NA
"Asb7",45.4767274309413,-7.94425717923536,1.9489699968621,-4.07613108053271,4.57912122286357e-05,0.0051699755742008,"ASB7",140460
"Ppm1h",209.857891809847,3.05706522580355,0.754395001895212,4.05234024367011,5.07078484412827e-05,0.00567927902542366,"PPM1H",57460
"Hsd17b2",191.249030672654,-6.89002260331521,1.70938304107174,-4.03070724218449,5.5609272646702e-05,0.00617880807185578,"HSD17B2",3294
"Calml5",321.168839048409,12.0427271777591,2.98914378761837,4.02882164037826,5.6057126862078e-05,0.00617952579581962,"CALML5",51806
"Adam15",938.307347214908,1.59561627963832,0.397590986101499,4.01321039816276,5.98984787033744e-05,0.00655139610818157,"ADAM15",8751
"LOC102553290",25196.8646996493,3.07198086221573,0.767053743201939,4.00490955091655,6.20412154100096e-05,0.00673315516077623,NA,NA
"Cep97",31.5744750643733,-8.38708201327153,2.10257577517511,-3.9889558855842,6.63647608131747e-05,0.00713516212262706,"CEP97",79598
"Ppfia4",43.712578995226,-7.88890947318705,1.97839495696183,-3.98753011648486,6.67647312902961e-05,0.00713516212262706,"PPFIA4",8497
"Enpp4",570.885407915206,-5.53150162904549,1.39140345113353,-3.97548362018159,7.02363782638405e-05,0.0074493128461649,"ENPP4",22875
"Il12a",60.2996407760873,-9.32047976555158,2.34580818064254,-3.97324889667603,7.08988952620524e-05,0.00746304160653183,"IL12A",3592
"Vps8",368.398896618283,-3.20167254751304,0.812577471942919,-3.94014436538298,8.14325891844481e-05,0.00850788245210652,"VPS8",23355
"RGD1563060",193.589564506464,11.3126740309068,2.88050648740334,3.92732114313157,8.58972541147394e-05,0.00890786338967667,NA,NA
"Sapcd2",68.050065043281,9.80488011411781,2.50839393646254,3.9088278645519,9.27450159432714e-05,0.00934122462737985,"SAPCD2",89958
"Sh3rf2",207.572661493772,11.4132410293851,2.91895964649373,3.91003727752618,9.22818785949448e-05,0.00934122462737985,"SH3RF2",153769
"Tspan7",1480.67620218895,-2.78216848832346,0.711756211345043,-3.90887841086184,9.27256156642927e-05,0.00934122462737985,NA,NA
"Wdr24",211.172727794098,-4.33028723320801,1.10716234711699,-3.9111583269463,9.1854531053233e-05,0.00934122462737985,"WDR24",84219
"Pde7a",75.26339749048,2.5281245223816,0.647760790504822,3.90286747737748,9.50597561394906e-05,0.00950597561394906,"PDE7A",5150
"Nfil3",159.353942797596,-5.853677941533,1.5033822487185,-3.89367238207233,9.87379798158223e-05,0.00980377104554264,"NFIL3",4783
"Slc35f2",65.8787626317219,9.75797842286086,2.51298853170623,3.88301749082617,0.000103168143795923,0.0101715071348093,"SLC35F2",54733
"Tnfrsf1b",80.8655910413912,-5.9311682027585,1.52849625445476,-3.88039433231994,0.00010428724592807,0.0102099401607901,"TNFRSF1B",7133
"LOC498236",193.419045998001,11.311365950418,2.91738332234953,3.87722993538891,0.000105652499933363,0.0102717708268547,NA,NA
"Kirrel",134.962557031441,3.9428209166043,1.01738093570172,3.87546176485489,0.000106422690422729,0.0102752942477118,NA,NA
"Chrnb4",248.559337228737,-11.3635301589987,2.9359663379057,-3.87045655540607,0.00010863171593057,0.0104167398837532,"CHRNB4",1143
"Slc39a6",196.644718684403,3.24035259355804,0.841783125571385,3.84939124475625,0.000118411743254827,0.0112773088814121,"SLC39A6",25800
"Peo1",449.101892491504,2.29057972007166,0.596382140255927,3.8407919443877,0.000122638024892383,0.0116008942465768,NA,NA
"LOC100912483",39.4457979168693,-8.70800587722197,2.27116626932924,-3.83415604344713,0.000125996141316158,0.0118385636135987,"C17orf100",388327
"Fut4",322.881074608624,-4.36317676827633,1.13928802449864,-3.82973986775329,0.000128278790229313,0.0119726870880692,"FUT4",2526
"Rbm6",640.941278663991,2.3006676487524,0.601593334546807,3.8242904577484,0.00013114923109545,0.0121595313598431,"RBM6",10180
"Pla2g5",71.9731246689477,7.44781006872795,1.95123373197374,3.81697484349772,0.000135097938648912,0.0124432311913472,"PLA2G5",5322
"Ccdc37",36.7181514268786,-8.60468670218555,2.25843501790791,-3.81002182217155,0.000138954526156592,0.0127147932430869,NA,NA
"Zranb3",81.6729527497554,-6.33849445822041,1.67032766266763,-3.79476111177936,0.000147785679822277,0.0134350618020252,"ZRANB3",84083
"LOC102553451",50.8408330216678,-9.07429919295101,2.39387917051298,-3.7906254019523,0.000150268441130742,0.0135726333924541,NA,NA
"Selp",25.2837175752027,-7.09045716401489,1.87270545965286,-3.78621054766895,0.000152962083241901,0.013727366444786,"SELP",6403
"Sqstm1",9062.60419249641,-1.12634522923338,0.299201591528092,-3.76450280053952,0.000166880798094194,0.0148810902759154,"SQSTM1",8878
"Mthfd2",40.0591775834637,5.50687188698853,1.47080090738748,3.74413141801097,0.000181018893562915,0.016039648796714,"MTHFD2",10797
"Helz2",94.0690911913925,7.20195273955078,1.92552114521893,3.74026156889174,0.000183828853600923,0.0161861883673769,"HELZ2",85441
